V1,V2,V3,weight
Arg.ves,Ept.nil,6,0.090909091
Arg.ves,Ept.ser,12,0.15
Arg.ves,Myo.bec,1,0.012195122
Arg.ves,Myo.bly,2,0.021052632
Arg.ves,Myo.das,4,0.057142857
Arg.ves,Myo.dau,3,0.023622047
Arg.ves,Myo.myo,7,0.053435115
Arg.ves,Myo.mys,7,0.101449275
Arg.ves,Myo.nat,3,0.030612245
Arg.ves,Nyc.noc,5,0.071428571
Arg.ves,Pip.nat,7,0.114754098
Arg.ves,Pip.pip,32,0.340425532
Arg.ves,Pip.pyg,6,0.101694915
Arg.ves,Ple.aur,5,0.056818182
Arg.ves,Rhi.eur,1,0.014492754
Arg.ves,Rhi.fer,2,0.023809524
Bas.nan,Min.sch,1,0.011111111
Bas.nan,Myo.bec,32,0.395061728
Bas.nan,Myo.bly,3,0.031914894
Bas.nan,Myo.das,5,0.072463768
Bas.nan,Myo.dau,5,0.03968254
Bas.nan,Myo.ema,3,0.048387097
Bas.nan,Myo.myo,14,0.107692308
Bas.nan,Myo.mys,4,0.058823529
Bas.nan,Myo.nat,15,0.154639175
Bas.nan,Pip.pip,1,0.010752688
Bas.nan,Ple.aur,6,0.068965517
Bas.nan,Rhi.fer,1,0.012048193
Bas.nat,Ept.ser,5,0.090909091
Bas.nat,Myo.bec,3,0.052631579
Bas.nat,Myo.dau,4,0.039215686
Bas.nat,Myo.ema,1,0.026315789
Bas.nat,Myo.myo,2,0.018867925
Bas.nat,Myo.mys,2,0.045454545
Bas.nat,Myo.nat,15,0.205479452
Bas.nat,Ple.aur,4,0.063492063
Cim.pip,Ept.ser,2,0.032786885
Cim.pip,Myo.bec,1,0.015873016
Cim.pip,Myo.bly,2,0.026315789
Cim.pip,Myo.das,5,0.098039216
Cim.pip,Myo.dau,7,0.064814815
Cim.pip,Myo.ema,4,0.090909091
Cim.pip,Myo.myo,13,0.116071429
Cim.pip,Myo.mys,2,0.04
Cim.pip,Myo.nat,4,0.050632911
Cim.pip,Nyc.noc,8,0.156862745
Cim.pip,Pip.nat,1,0.023809524
Cim.pip,Pip.pip,3,0.04
Cim.pip,Pip.pyg,7,0.175
Cim.pip,Rhi.fer,1,0.015384615
Isc.var,Ept.nil,1,0.03125
Isc.var,Ept.ser,2,0.043478261
Isc.var,Myo.das,2,0.055555556
Isc.var,Myo.dau,1,0.010752688
Isc.var,Myo.myo,1,0.010309278
Isc.var,Myo.mys,1,0.028571429
Isc.var,Myo.nat,1,0.015625
Isc.var,Nyc.noc,4,0.111111111
Isc.var,Pip.nat,6,0.222222222
Isc.var,Pip.pip,2,0.033333333
Isc.var,Ple.aur,1,0.018518519
Ixo.ari,Myo.bec,2,0.048780488
Ixo.ari,Myo.bly,1,0.018518519
Ixo.ari,Myo.das,1,0.034482759
Ixo.ari,Myo.dau,2,0.023255814
Ixo.ari,Myo.ema,1,0.045454545
Ixo.ari,Myo.myo,2,0.022222222
Ixo.ari,Myo.nat,1,0.01754386
Ixo.ari,Pip.pyg,1,0.055555556
Ixo.ari,Ple.aur,3,0.063829787
Mac.sp4,Myo.das,1,0.04
Nyb.kol,Ept.ser,5,0.061728395
Nyb.kol,Min.sch,3,0.032608696
Nyb.kol,Myo.bec,9,0.108433735
Nyb.kol,Myo.bly,2,0.020833333
Nyb.kol,Myo.cap,1,0.013157895
Nyb.kol,Myo.das,5,0.070422535
Nyb.kol,Myo.dau,39,0.3046875
Nyb.kol,Myo.ema,1,0.015625
Nyb.kol,Myo.myo,12,0.090909091
Nyb.kol,Myo.mys,5,0.071428571
Nyb.kol,Myo.nat,12,0.121212121
Nyb.kol,Nyc.noc,2,0.028169014
Nyb.kol,Pip.pip,4,0.042105263
Nyb.kol,Ple.aur,3,0.033707865
Nyb.kol,Rhi.fer,3,0.035294118
Nyb.sch,Ept.ser,1,0.0125
Nyb.sch,Min.sch,35,0.384615385
Nyb.sch,Myo.bec,3,0.036585366
Nyb.sch,Myo.bly,8,0.084210526
Nyb.sch,Myo.cap,7,0.093333333
Nyb.sch,Myo.dau,11,0.086614173
Nyb.sch,Myo.myo,16,0.122137405
Nyb.sch,Myo.mys,1,0.014492754
Nyb.sch,Pip.pip,6,0.063829787
Nyb.sch,Ple.aur,2,0.022727273
Nyb.sch,Rhi.bla,1,0.016666667
Nyb.sch,Rhi.eur,5,0.072463768
Nyb.sch,Rhi.fer,7,0.083333333
Nyb.sch,Rhi.meh,4,0.068965517
Pen.con,Min.sch,29,0.3625
Pen.con,Myo.bly,5,0.05952381
Pen.con,Myo.cap,3,0.046875
Pen.con,Myo.dau,3,0.025862069
Pen.con,Myo.myo,8,0.066666667
Pen.con,Myo.mys,1,0.017241379
Pen.con,Ple.aur,1,0.012987013
Pen.con,Rhi.bla,2,0.040816327
Pen.con,Rhi.eur,7,0.120689655
Pen.con,Rhi.fer,2,0.02739726
Pen.duf,Ept.ser,1,0.011494253
Pen.duf,Min.sch,26,0.265306122
Pen.duf,Myo.bly,26,0.254901961
Pen.duf,Myo.cap,19,0.231707317
Pen.duf,Myo.das,1,0.012987013
Pen.duf,Myo.dau,5,0.037313433
Pen.duf,Myo.ema,4,0.057142857
Pen.duf,Myo.myo,31,0.224637681
Pen.duf,Myo.nat,4,0.038095238
Pen.duf,Ple.aur,1,0.010526316
Pen.duf,Rhi.bla,3,0.044776119
Pen.duf,Rhi.eur,8,0.105263158
Pen.duf,Rhi.fer,6,0.065934066
Pen.duf,Rhi.meh,1,0.015384615
Pht.bia,Ept.ser,1,0.01369863
Pht.bia,Min.sch,9,0.107142857
Pht.bia,Myo.bly,4,0.045454545
Pht.bia,Myo.cap,4,0.058823529
Pht.bia,Myo.das,1,0.015873016
Pht.bia,Myo.dau,2,0.016666667
Pht.bia,Myo.ema,1,0.017857143
Pht.bia,Myo.myo,11,0.088709677
Pht.bia,Pip.pip,3,0.034482759
Pht.bia,Ple.aur,4,0.049382716
Pht.bia,Rhi.bla,13,0.245283019
Pht.bia,Rhi.eur,16,0.258064516
Pht.bia,Rhi.fer,33,0.428571429
Pht.bia,Rhi.meh,9,0.176470588
Spi.sp2,Nyc.noc,1,0.04
Spi.sp2,Pip.nat,1,0.0625
Spi.and,Myo.bec,1,0.01754386
Spi.and,Myo.bly,1,0.014285714
Spi.and,Myo.das,4,0.088888889
Spi.and,Myo.dau,19,0.18627451
Spi.and,Myo.myo,3,0.028301887
Spi.and,Myo.mys,1,0.022727273
Spi.and,Myo.nat,3,0.04109589
Spi.and,Nyc.noc,1,0.022222222
Spi.and,Pip.nat,1,0.027777778
Spi.and,Pip.pip,1,0.014492754
Spi.kol,Ept.nil,10,0.277777778
Spi.kol,Ept.ser,10,0.2
Spi.kol,Myo.bly,1,0.015384615
Spi.kol,Myo.dau,1,0.010309278
Spi.kol,Myo.mys,1,0.025641026
Spi.kol,Nyc.noc,2,0.05
Spi.kol,Pip.nat,1,0.032258065
Spi.kol,Ple.aur,1,0.017241379
Spi.myo,Ept.nil,1,0.015151515
Spi.myo,Ept.ser,2,0.025
Spi.myo,Min.sch,7,0.076923077
Spi.myo,Myo.bly,18,0.189473684
Spi.myo,Myo.cap,8,0.106666667
Spi.myo,Myo.das,6,0.085714286
Spi.myo,Myo.dau,10,0.078740157
Spi.myo,Myo.ema,5,0.079365079
Spi.myo,Myo.myo,30,0.229007634
Spi.myo,Myo.mys,4,0.057971014
Spi.myo,Myo.nat,13,0.132653061
Spi.myo,Nyc.noc,1,0.014285714
Spi.myo,Pip.nat,2,0.032786885
Spi.myo,Pip.pip,2,0.021276596
Spi.myo,Ple.aur,5,0.056818182
Spi.myo,Rhi.eur,2,0.028985507
Spi.myo,Rhi.fer,3,0.035714286
Spi.myo,Rhi.meh,1,0.017241379
Spi.ple,Ept.nil,5,0.119047619
Spi.ple,Ept.ser,2,0.035714286
Spi.ple,Myo.dau,2,0.019417476
Spi.ple,Myo.myo,1,0.009345794
Spi.ple,Myo.mys,2,0.044444444
Spi.ple,Myo.nat,1,0.013513514
Spi.ple,Nyc.noc,5,0.108695652
Spi.ple,Ple.aur,19,0.296875
Spi.ple,Rhi.fer,4,0.066666667
OTU1,Ept.ser,1,0.015625
OTU1,Min.sch,48,0.289156627
OTU1,Myo.bly,2,0.020618557
OTU1,Myo.dau,2,0.017857143
OTU1,Pip.pyg,1,0.01754386
OTU1,Rhi.eur,1,0.011764706
OTU1,Nyb.sch,23,0.239583333
OTU1,Pen.con,9,0.101123596
OTU2,Min.sch,10,0.082644628
OTU2,Pen.duf,1,0.076923077
OTU2,Nyb.sch,2,0.039215686
OTU3,Min.sch,24,0.140350877
OTU3,Myo.bec,3,0.04109589
OTU3,Myo.bly,3,0.029411765
OTU3,Myo.dau,14,0.11965812
OTU3,Myo.myo,10,0.11627907
OTU3,Myo.nat,3,0.046875
OTU3,Rhi.fer,3,0.038461538
OTU3,Nyb.sch,14,0.138613861
OTU3,Pen.con,3,0.031914894
OTU3,Bas.nan,4,0.057971014
OTU3,Ixo.ari,1,0.015625
OTU3,Nyb.kol,24,0.198347107
OTU3,Pen.duf,1,0.015873016
OTU3,Bas.nat,3,0.046875
OTU4,Rhi.eur,10,0.227272727
OTU4,Rhi.fer,3,0.09375
OTU4,Rhi.meh,1,0.052631579
OTU4,Pht.bia,5,0.172413793
OTU5,Rhi.meh,2,0.285714286
OTU5,Pht.bia,2,0.117647059
OTU11,Myo.bly,2,0.038461538
OTU11,Rhi.bla,1,0.076923077
OTU11,Rhi.eur,2,0.05
OTU11,Rhi.fer,4,0.142857143
OTU11,Rhi.meh,1,0.066666667
OTU11,Pht.bia,3,0.12
OTU16,Min.sch,1,0.007352941
OTU16,Rhi.bla,2,0.071428571
OTU16,Rhi.eur,17,0.309090909
OTU16,Rhi.fer,4,0.093023256
OTU16,Rhi.meh,1,0.033333333
OTU16,Pht.bia,4,0.1
OTU19,Ept.ser,2,0.015384615
OTU19,Min.sch,1,0.004310345
OTU19,Myo.bec,5,0.037313433
OTU19,Myo.bly,22,0.134969325
OTU19,Myo.das,49,0.243781095
OTU19,Myo.dau,18,0.101123596
OTU19,Myo.ema,6,0.043165468
OTU19,Myo.myo,7,0.047619048
OTU19,Nyc.noc,1,0.008064516
OTU19,Pip.nat,2,0.013888889
OTU19,Pip.pip,3,0.024
OTU19,Ple.aur,5,0.03968254
OTU19,Pen.con,1,0.006451613
OTU19,Ixo.ari,3,0.024
OTU19,Spi.and,22,0.151724138
OTU19,Pen.duf,1,0.008064516
OTU19,Cim.pip,46,0.237113402
OTU19,Mac.sp4,1,0.008
OTU19,Nyb.kol,2,0.010989011
OTU19,Spi.myo,5,0.03968254
OTU19,Spi.ple,5,0.03968254
OTU19,Arg.ves,3,0.02173913
OTU20,Myo.bly,1,0.018867925
OTU20,Myo.ema,8,0.275862069
OTU20,Min.sch,2,0.016393443
OTU20,Pen.con,1,0.022222222
OTU21,Myo.das,1,0.012195122
OTU21,Pip.nat,1,0.04
OTU21,Cim.pip,1,0.013333333
OTU21,Spi.and,1,0.038461538
EsSk,Ept.ser,1,0.1
EsSk,Spi.kol,1,0.333333333
OTU22,Myo.dau,6,0.09375
OTU22,Min.sch,1,0.008474576
OTU22,Nyb.kol,6,0.088235294
OTU24,Min.sch,3,0.02189781
OTU24,Myo.bec,3,0.076923077
OTU24,Myo.bly,7,0.102941176
OTU24,Myo.dau,6,0.072289157
OTU24,Myo.myo,6,0.115384615
OTU24,Myo.nat,1,0.033333333
OTU24,Nyb.kol,16,0.183908046
OTU24,Bas.nan,3,0.085714286
OTU24,Bas.nat,1,0.033333333
OTU25,Rhi.fer,3,0.136363636
OTU25,Myo.ema,1,0.045454545
OTU26,Ept.nil,1,0.016949153
OTU26,Ept.ser,4,0.059701493
OTU26,Myo.bly,1,0.01
OTU26,Myo.das,24,0.173913043
OTU26,Myo.dau,3,0.026086957
OTU26,Myo.ema,2,0.026315789
OTU26,Myo.mys,1,0.016949153
OTU26,Nyc.noc,1,0.016393443
OTU26,Pip.nat,20,0.24691358
OTU26,Pip.pip,1,0.016129032
OTU26,Isc.var,10,0.144927536
OTU26,Spi.kol,1,0.016666667
OTU26,Cim.pip,21,0.160305344
OTU26,Mac.sp4,2,0.032258065
OTU26,Spi.and,1,0.012195122
OTU26,Spi.sp2,1,0.016949153
OTU26,Arg.ves,14,0.186666667
OTU27,Nyc.noc,1,0.25
OTU31,Min.sch,21,0.147887324
OTU31,Myo.bly,2,0.02739726
OTU31,Myo.cap,1,0.03125
OTU31,Myo.dau,3,0.034090909
OTU31,Myo.myo,2,0.035087719
OTU31,Pip.pyg,1,0.03030303
OTU31,Rhi.fer,1,0.020408163
OTU31,Nyb.sch,2,0.027777778
OTU31,Pen.con,20,0.307692308
OTU31,Pht.bia,1,0.02173913
OTU31,Nyb.kol,7,0.076086957
OTU32,Myo.bec,2,0.1
OTU32,Myo.dau,5,0.078125
OTU32,Nyb.kol,5,0.073529412
OTU32,Bas.nan,2,0.125
OTU33,Myo.das,6,0.068181818
OTU33,Ept.ser,1,0.058823529
OTU33,Myo.ema,1,0.038461538
OTU33,Isc.var,1,0.052631579
OTU33,Cim.pip,5,0.061728395
OTU33,Mac.sp4,1,0.083333333
OTU42,Myo.bly,2,0.044444444
OTU42,Myo.myo,1,0.034482759
OTU42,Nyb.kol,1,0.015625
