"","resid","mean","upper","Host","Parasite","F1.stat","p.F1","F2.stat","p.F2","col","sig"
"Ept.ser-OTU1",0.5622681268855,0.292009379497117,0.36579465436938,2,1,-0.405151393872107,0.966,NA,NA,"grey","#000000FF"
"Min.sch-OTU1",0.621678478332055,0.396794403289735,0.612769665194941,3,1,0.331863059433964,0.121,NA,NA,"grey","#000000CC"
"Myo.bly-OTU1",0.48945744693335,0.237060128291992,0.339021706851051,5,1,-0.431948045968134,0.979,NA,NA,"grey","#000000FF"
"Myo.dau-OTU1",0.508285619045676,0.300231876883779,0.421775506366153,8,1,-0.444136467092733,0.968,NA,NA,"grey","#000000FF"
"Pip.pyg-OTU1",0.573446422352035,0.356504777392697,0.425051288315305,16,1,-0.464596855112269,0.966,NA,NA,"grey","#000000FF"
"Rhi.eur-OTU1",0.662835425078376,0.490706977501943,0.608967053279138,19,1,1.3573640761187,0.001,NA,NA,"green4","#000000CC"
"Min.sch-OTU2",0.603528572866916,0.404025023361623,0.622595095168794,3,2,0.34382311185233,0.141,NA,NA,"grey","#000000CC"
"Min.sch-OTU3",0.633945996840029,0.385139463647495,0.597093409760881,3,3,0.30029543435327,0.135,NA,NA,"grey","#000000CC"
"Myo.bec-OTU3",0.501712899349542,0.308570080335226,0.41839727880553,4,3,-0.389191474149186,0.953,NA,NA,"grey","#000000FF"
"Myo.bly-OTU3",0.472944269266152,0.206973953342218,0.316653555197797,5,3,-0.364645457387116,0.952,NA,NA,"grey","#000000FF"
"Myo.dau-OTU3",0.504699957414373,0.345781370295667,0.477153269394215,8,3,-0.391964036217264,0.959,NA,NA,"grey","#000000FF"
"Myo.myo-OTU3",0.478690504246268,0.249160663001753,0.356661258630765,10,3,-0.364883938709752,0.947,NA,NA,"grey","#000000FF"
"Myo.nat-OTU3",0.477840294714575,0.345897949468267,0.489849919686725,12,3,-0.345376279397538,0.935,NA,NA,"grey","#000000FF"
"Rhi.fer-OTU3",0.660321591871198,0.393140073132107,0.519067335415502,20,3,1.2616325266337,0.002,NA,NA,"green4","#000000CC"
"Rhi.eur-OTU4",0.600943829281319,0.376237206542091,0.509064900548146,19,4,1.92478357953642,0.001,NA,NA,"green4","#000000FF"
"Rhi.fer-OTU4",0.640991156685786,0.501385583280883,0.600601054229,20,4,1.81351519386133,0.001,NA,NA,"green4","#000000CC"
"Rhi.meh-OTU4",0.59956194389262,0.417992497445673,0.545317001874194,21,4,1.92803695394939,0.001,NA,NA,"green4","#000000CC"
"Rhi.meh-OTU5",0.595516814961501,0.392535901915145,0.523949449217268,21,5,1.87915380578718,0.001,NA,NA,"green4","#000000CC"
"Myo.bly-OTU11",0.489425045647397,0.212275380098562,0.292049966350772,5,6,-0.666070170308224,1,NA,NA,"grey","#000000FF"
"Rhi.bla-OTU11",0.573834745913347,0.402663270778954,0.533362177676109,18,6,2.07363473702805,0.001,NA,NA,"green4","#000000CC"
"Rhi.eur-OTU11",0.603904689065102,0.444172814545789,0.549016474021906,19,6,2.13368254907327,0.001,NA,NA,"green4","#000000CC"
"Rhi.fer-OTU11",0.613761806090871,0.479504956870225,0.572637274077217,20,6,2.04330820648628,0.001,NA,NA,"green4","#000000CC"
"Rhi.meh-OTU11",0.607930542183765,0.432615299397783,0.546320911348034,21,6,2.13376292082187,0.001,NA,NA,"green4","#000000CC"
"Min.sch-OTU16",0.656338566031028,0.467547518263856,0.600568163589138,3,7,0.198667939363911,0.189,NA,NA,"grey","#000000CC"
"Rhi.bla-OTU16",0.577424182146691,0.393368250436924,0.528241789097892,18,7,2.15978158964985,0.001,NA,NA,"green4","#000000CC"
"Rhi.eur-OTU16",0.613904420352048,0.496473598134894,0.597934178197108,19,7,2.21982983267024,0.001,NA,NA,"green4","#000000CC"
"Rhi.fer-OTU16",0.611067953254599,0.456796752431442,0.559632194444527,20,7,2.12945473643875,0.001,NA,NA,"green4","#000000CC"
"Rhi.meh-OTU16",0.614533057020653,0.462761537956335,0.57194192143532,21,7,2.21991020441885,0.001,NA,NA,"green4","#000000CC"
"Ept.ser-OTU19",0.544435237229414,0.364836041326141,0.45380181998526,2,8,0.347422144455233,0.052,NA,NA,"yellow","#000000FF"
"Min.sch-OTU19",0.666561669863618,0.426152385807393,0.565071496921824,3,8,-0.17999263741557,0.809,NA,NA,"grey","#000000CC"
"Myo.bec-OTU19",0.443126590771331,0.216827253484717,0.276749948560165,4,8,0.323859434014341,0.061,NA,NA,"yellow","#000000FF"
"Myo.bly-OTU19",0.428243576703731,0.187632603312768,0.254124762923269,5,8,0.300953630932572,0.07,NA,NA,"yellow","#000000FF"
"Myo.das-OTU19",0.4482850914477,0.217293315900756,0.290397938095249,7,8,0.381467673279399,0.037,NA,NA,"green","#000000FF"
"Myo.dau-OTU19",0.457848109917411,0.248970811153578,0.31904788329726,8,8,0.316960058468261,0.061,NA,NA,"yellow","#000000FF"
"Myo.ema-OTU19",0.443651037266103,0.202438397345657,0.274533709570079,9,8,0.413085030145158,0.035,NA,NA,"green","#000000FF"
"Myo.myo-OTU19",0.428225066997799,0.188091123334234,0.254065833681182,10,8,0.300868754940787,0.074,NA,NA,"yellow","#000000FF"
"Nyc.noc-OTU19",0.500110000058615,0.286560907449657,0.374372048663871,13,8,0.471781728655568,0.025,NA,NA,"green","#000000FF"
"Pip.nat-OTU19",0.480314447290401,0.249135844052655,0.334777070515585,14,8,0.494463095300972,0.031,NA,NA,"green","#000000FF"
"Pip.pip-OTU19",0.498184665071116,0.285355154308676,0.374276749113417,15,8,0.440515267116375,0.03,NA,NA,"green","#000000FF"
"Ple.aur-OTU19",0.469653257090712,0.234879286058336,0.294791137285179,17,8,0.347380138298504,0.053,NA,NA,"yellow","#000000FF"
"Min.sch-OTU20",0.643434071284579,0.399388434308755,0.543950595786207,3,9,-0.145802680789636,0.859,NA,NA,"grey","#000000CC"
"Myo.bly-OTU20",0.423388051168336,0.178903319294671,0.244778377151778,5,9,0.27844420994743,0.132,NA,NA,"grey","#000000FF"
"Myo.ema-OTU20",0.411743780422989,0.208769864135518,0.290138424223471,9,9,0.399701102746974,0.057,NA,NA,"yellow","#000000FF"
"Myo.das-OTU21",0.423177897440864,0.246413746948801,0.358130637340082,7,10,0.346806392777072,0.069,NA,NA,"yellow","#000000FF"
"Pip.nat-OTU21",0.443952207738741,0.177507805237692,0.276314323116927,14,10,0.48272695612539,0.039,NA,NA,"green","#000000FF"
"Ept.ser-EsSk",0.499198565366589,0.338906011732315,0.448483109840395,2,11,0.362031468264078,0.078,NA,NA,"yellow","#000000FF"
"Min.sch-OTU22",0.644180890427387,0.465078123084316,0.614786463329519,3,12,-0.120960244509423,0.859,NA,NA,"grey","#000000CC"
"Myo.dau-OTU22",0.404391076650343,0.167887442731328,0.261130213387417,8,12,0.26653909993577,0.118,NA,NA,"grey","#000000FF"
"Min.sch-OTU24",0.707609001825902,0.626067630822111,0.780986537799232,3,13,-0.217755733138056,0.937,NA,NA,"grey","#00000033"
"Myo.bec-OTU24",0.405660141493038,0.257996905797199,0.357451906774411,4,13,0.338505364823657,0.046,NA,NA,"green","#000000FF"
"Myo.bly-OTU24",0.397606664235245,0.19577689897151,0.277646128982228,5,13,0.350798357581937,0.048,NA,NA,"green","#000000FF"
"Myo.dau-OTU24",0.411896998606626,0.178251738932384,0.281924114893491,8,13,0.329799033117311,0.055,NA,NA,"yellow","#000000FF"
"Myo.myo-OTU24",0.391507365756761,0.152183068302193,0.237678647729451,10,13,0.350963809063597,0.047,NA,NA,"green","#000000FF"
"Myo.nat-OTU24",0.336729252295939,0.0647904405722953,0.143946058266435,12,13,0.349946478555989,0.057,NA,NA,"yellow","#000000FF"
"Myo.ema-OTU25",0.367629662585112,0.124683956618144,0.204901407487986,9,14,0.270298487314808,0.112,NA,NA,"grey","#000000FF"
"Rhi.fer-OTU25",0.748966994027221,0.636543613215791,0.75397662466286,20,14,-0.956974831912177,1,NA,NA,"grey","#00000033"
"Ept.nil-OTU26",0.485869326755904,0.253634117196212,0.367497523177338,1,15,0.410070426196345,0.029,NA,NA,"green","#000000FF"
"Ept.ser-OTU26",0.488789758438706,0.253085408011,0.366787351938704,2,15,0.408699864663596,0.036,NA,NA,"green","#000000FF"
"Myo.bly-OTU26",0.449986526539833,0.19762837404926,0.249177805147244,5,15,0.118109530497339,0.241,NA,NA,"grey","#000000FF"
"Myo.das-OTU26",0.484225794833578,0.281685369647995,0.351237531215601,7,15,0.226394997682895,0.111,NA,NA,"grey","#000000FF"
"Myo.dau-OTU26",0.45630490867694,0.207453553242842,0.269142444670025,8,15,0.158994714215275,0.184,NA,NA,"grey","#000000FF"
"Myo.ema-OTU26",0.478212258368658,0.258101947967574,0.318629251688103,9,15,0.256905594647769,0.089,NA,NA,"yellow","#000000FF"
"Myo.mys-OTU26",0.437852261167266,0.232449595505122,0.312636770968638,11,15,0.258987795650562,0.081,NA,NA,"yellow","#000000FF"
"Nyc.noc-OTU26",0.424902159668934,0.191004681835834,0.286586836840166,13,15,0.572967729424597,0.007,NA,NA,"green3","#000000FF"
"Pip.nat-OTU26",0.460374463690196,0.24219079566094,0.325971588626562,14,15,0.531079940787091,0.011,NA,NA,"green","#000000FF"
"Pip.pip-OTU26",0.452449944557394,0.227870992791724,0.308725918379066,15,15,0.507701726681059,0.014,NA,NA,"green","#000000FF"
"Nyc.noc-OTU27",0.402130979028387,0.176668666973056,0.267947403775952,13,16,0.568474092525452,0.023,NA,NA,"green","#000000FF"
"Min.sch-OTU31",0.770826172390205,0.763643230545592,0.883709780099649,3,17,-0.42919963159159,0.956,NA,NA,"grey","#00000033"
"Myo.bly-OTU31",0.425530829737813,0.173723271900564,0.268239810058885,5,17,0.210574997500604,0.255,NA,NA,"grey","#000000FF"
"Myo.cap-OTU31",0.342475382820071,0.110417211564361,0.171227935082683,6,17,0.253923497266218,0.207,NA,NA,"grey","#000000FF"
"Myo.dau-OTU31",0.371127569939719,0.0888691150524409,0.221057911762448,8,17,0.272452574142473,0.188,NA,NA,"grey","#000000FF"
"Myo.myo-OTU31",0.42489168550554,0.173461714047876,0.267471711743144,10,17,0.211671100571625,0.25,NA,NA,"grey","#000000FF"
"Pip.pyg-OTU31",0.600530515279166,0.453984344496486,0.545950232383794,16,17,-0.205692952878081,0.843,NA,NA,"grey","#000000CC"
"Rhi.fer-OTU31",0.755395312113103,0.60089002400737,0.711032393975564,20,17,-0.494629771239339,0.967,NA,NA,"grey","#00000033"
"Myo.bec-OTU32",0.367823437096701,0.0886814413350155,0.167127046042242,4,18,0.248299885540373,0.317,NA,NA,"grey","#000000FF"
"Myo.dau-OTU32",0.354074840977236,0.0929740464537921,0.222585248592277,8,18,0.277649799759018,0.26,NA,NA,"grey","#000000FF"
"Ept.ser-OTU33",0.546128752468746,0.369857702828636,0.502855620987499,2,19,-0.0499631667370473,0.783,NA,NA,"grey","#000000FF"
"Myo.das-OTU33",0.363595708159567,0.127242748852526,0.224808821818004,7,19,0.151696715611301,0.38,NA,NA,"grey","#000000FF"
"Myo.ema-OTU33",0.443780540782567,0.266779035952626,0.352618094017981,9,19,0.115735647597162,0.454,NA,NA,"grey","#000000FF"
"Myo.bly-OTU42",0.289781301788941,0.0746327285406576,0.152795753059073,5,20,0.242523518069628,0.24,NA,NA,"grey","#000000FF"
"Myo.myo-OTU42",0.274310053402175,0.0398267867536419,0.123495016216327,10,20,0.243213694517316,0.232,NA,NA,"grey","#000000FF"
