"","Ept.nil","Ept.ser","Min.sch","Myo.bec","Myo.bly","Myo.cap","Myo.das","Myo.dau","Myo.ema","Myo.myo","Myo.mys","Myo.nat","Nyc.noc","Pip.nat","Pip.pip","Pip.pyg","Ple.aur","Rhi.bla","Rhi.eur","Rhi.fer","Rhi.meh"
"Ept.nil",0,1368120.23619569,3873407.3872436,4571894.39222812,1286451.52548435,3716149.60816022,120301.424914164,4806041.68958637,2447147.09395683,4676899.35373031,3279672.98410292,3145394.97801544,2858702.68080698,3021621.95050464,1203584.27555488,3893175.99189335,2757203.17937673,1534482.81375195,5141530.14583345,1426889.72343033,6178656.77477673
"Ept.ser",1368120.23619569,0,2673131.32050402,3440705.28997927,1302632.06496493,2480558.71969823,1249450.2463732,3639425.24995903,1532956.77861913,3538409.71205219,2314579.69969163,2181649.58635495,1798598.11561102,1984055.51153516,1541876.30958959,2883603.98204049,1790998.37238766,1411582.53439233,3940090.44478921,1589130.00152195,4885632.76483727
"Min.sch",3873407.3872436,2673131.32050402,0,806852.183693842,3901568.92926252,244887.908997452,3757230.50638463,969218.635563606,1538892.78193218,890599.696876201,952592.838823624,1015353.23162135,1069106.435286,963663.472971129,4183945.85395071,762328.971205611,1253609.68745546,3929820.83667091,1272889.04325583,4179690.42170449,2357183.92408594
"Myo.bec",4571894.39222812,3440705.28997927,806852.183693842,0,4692800.92170614,1044126.52385096,4459575.23302217,283241.333579426,2144987.98765082,108022.361110497,1360764.53436406,1479779.54873937,1713215.04199189,1555130.23194434,4967842.58641561,795242.866173523,1834265.3213248,4729323.66412517,661497.0017241,4973311.53892688,1898766.68474218
"Myo.bly",1286451.52548435,1302632.06496493,3901568.92926252,4692800.92170614,0,3688100.54079297,1246445.13024523,4869765.3419055,2830613.05271834,4785588.92822053,3616491.267788,3483955.30578684,3095701.22516206,3282106.0005134,327072.779467918,4177971.55570885,3093582.93373297,248711.774112453,5141777.93492521,286622.312620389,5967291.88566358
"Myo.cap",3716149.60816022,2480558.71969823,244887.908997452,1044126.52385096,3688100.54079297,0,3598479.29644248,1184980.63700263,1458430.39019958,1122694.69158855,1004404.64242127,1036239.6468701,989565.580289576,924320.557335127,3975891.52150298,952214.402866921,1199421.84273273,3708577.77148011,1460876.55388836,3963863.99734927,2475743.01457415
"Myo.das",120301.424914164,1249450.2463732,3757230.50638463,4459575.23302217,1246445.13024523,3598479.29644248,0,4692169.78360234,2339626.98971451,4564315.83966874,3173391.2367905,3038734.89371383,2746640.43535973,2911040.746362,1194335.83242029,3786163.70334011,2648918.97892602,1492124.58823363,5026199.14566855,1408233.34738241,6059682.64804812
"Myo.dau",4806041.68958637,3639425.24995903,969218.635563606,283241.333579426,4869765.3419055,1184980.63700263,4692169.78360234,0,2396382.77611991,186807.217698004,1630770.70747399,1745634.30600519,1952335.88085398,1803146.39104277,5153145.78968802,1077370.49729819,2087810.73905741,4893473.82458115,378863.625273873,5146978.23274866,1615671.91824103
"Myo.ema",2447147.09395683,1532956.77861913,1538892.78193218,2144987.98765082,2830613.05271834,1458430.39019958,2339626.98971451,2396382.77611991,0,2252077.75013214,835376.084693813,699940.892531816,471430.816625459,593889.343705853,3044869.91663092,1446601.62505513,311728.008520318,2943663.19360501,2753400.68035173,3115984.12282356,3894727.28174417
"Myo.myo",4676899.35373031,3538409.71205219,890599.696876201,108022.361110497,4785588.92822053,1122694.69158855,4564315.83966874,186807.217698004,2252077.75013214,0,1468721.67802917,1587796.11539472,1818440.28743826,1661642.40741577,5062754.38871367,899828.716722289,1941530.38079499,4818814.78400492,560102.475401076,5065330.87902879,1799847.47510429
"Myo.mys",3279672.98410292,2314579.69969163,952592.838823624,1360764.53436406,3616491.267788,1004404.64242127,3173391.2367905,1630770.70747399,835376.084693813,1468721.67802917,0,136022.474252913,539617.141413953,358266.472546985,3849846.55042788,614726.775816915,533892.035779315,3706811.74481982,2003863.6988098,3903109.73413079,3205428.55301796
"Myo.nat",3145394.97801544,2181649.58635495,1015353.23162135,1479779.54873937,3483955.30578684,1036239.6468701,3038734.89371383,1745634.30600519,699940.892531816,1587796.11539472,136022.474252913,0,422821.4667251,254955.526214283,3715572.49978587,747923.202086274,397974.100095544,3576656.46474671,2115721.83790448,3770549.7704313,3306272.28919827
"Nyc.noc",2858702.68080698,1798598.11561102,1069106.435286,1713215.04199189,3095701.22516206,989565.580289576,2746640.43535973,1952335.88085398,471430.816625459,1818440.28743826,539617.141413953,422821.4667251,0,187035.398140895,3339828.56259047,1085442.09172526,231902.303756094,3177181.22288277,2300589.5026974,3382123.83966046,3426106.18900199
"Pip.nat",3021621.95050464,1984055.51153516,963663.472971129,1555130.23194434,3282106.0005134,924320.557335127,2911040.746362,1803146.39104277,593889.343705853,1661642.40741577,358266.472546985,254955.526214283,187035.398140895,0,3524727.73462609,901728.87435952,291907.362485736,3364213.06846464,2159547.32344464,3568576.06038118,3310167.876239
"Pip.pip",1203584.27555488,1541876.30958959,4183945.85395071,4967842.58641561,327072.779467918,3975891.52150298,1194335.83242029,5153145.78968802,3044869.91663092,5062754.38871367,3849846.55042788,3715572.49978587,3339828.56259047,3524727.73462609,0,4425149.37840097,3320640.69331232,491028.840108202,5433896.14812676,241410.990808139,6281461.44170669
"Pip.pyg",3893175.99189335,2883603.98204049,762328.971205611,795242.866173523,4177971.55570885,952214.402866921,3786163.70334011,1077370.49729819,1446601.62505513,899828.716722289,614726.775816915,747923.202086274,1085442.09172526,901728.87435952,4425149.37840097,0,1138999.58793094,4251206.91287962,1456219.18000988,4464052.78172563,2688997.27229155
"Ple.aur",2757203.17937673,1790998.37238766,1253609.68745546,1834265.3213248,3093582.93373297,1199421.84273273,2648918.97892602,2087810.73905741,311728.008520318,1941530.38079499,533892.035779315,397974.100095544,231902.303756094,291907.362485736,3320640.69331232,1138999.58793094,0,3192878.28396742,2447558.19921523,3380003.2831513,3602071.91548249
"Rhi.bla",1534482.81375195,1411582.53439233,3929820.83667091,4729323.66412517,248711.774112453,3708577.77148011,1492124.58823363,4893473.82458115,2943663.19360501,4818814.78400492,3706811.74481982,3576656.46474671,3177181.22288277,3364213.06846464,491028.840108202,4251206.91287962,3192878.28396742,0,5150572.01168564,310960.138706113,5927798.51866105
"Rhi.eur",5141530.14583345,3940090.44478921,1272889.04325583,661497.0017241,5141777.93492521,1460876.55388836,5026199.14566855,378863.625273873,2753400.68035173,560102.475401076,2003863.6988098,2115721.83790448,2300589.5026974,2159547.32344464,5433896.14812676,1456219.18000988,2447558.19921523,5150572.01168564,0,5414315.29234965,1240426.97569718
"Rhi.fer",1426889.72343033,1589130.00152195,4179690.42170449,4973311.53892688,286622.312620389,3963863.99734927,1408233.34738241,5146978.23274866,3115984.12282356,5065330.87902879,3903109.73413079,3770549.7704313,3382123.83966046,3568576.06038118,241410.990808139,4464052.78172563,3380003.2831513,310960.138706113,5414315.29234965,0,6218287.85264307
"Rhi.meh",6178656.77477673,4885632.76483727,2357183.92408594,1898766.68474218,5967291.88566358,2475743.01457415,6059682.64804812,1615671.91824103,3894727.28174417,1799847.47510429,3205428.55301796,3306272.28919827,3426106.18900199,3310167.876239,6281461.44170669,2688997.27229155,3602071.91548249,5927798.51866105,1240426.97569718,6218287.85264307,0
